country3,icao,iata,lat,lon
CAN,CXAF,XAF,54.28,-112.97
CAN,,PAC,51.0661,-110.317
CAN,,PAH,53.11,-111.18
CAN,,PAA,52.32,-111.78
CAN,CXAG,XAG,53.92,-112.28
CAN,CYWM,YWM,54.742925,-113.205208
CAN,,PAF,54.6347,-113.3819
CAN,,PAT,50.81,-111.0056
CAN,CXAJ,XAJ,54.78,-112.83
CAN,,PAZ,50.51,-114.01
CAN,CWZG,WZG,51.19,-115.55
CAN,CYBA,,51.2,-115.533333
CAN,CXBW,XBW,49.8,-112.3
CAN,,PBA,50.03,-113.22
CAN,CXBD,XBD,54.09,-114.45
CAN,,PBS,50.89,-112.47
CAN,CWBM,WBM,55.2,-119.4
CAN,,PBE,51.38,-113.36
CAN,,PBL,52.58,-111.47
CAN,,PBV,52.0,-112.8
CAN,,PBD,50.71,-114.15
CAN,,PBT,49.57,-113.05
CAN,CXBA,XBA,52.12,-110.1
CAN,CYBF,YBF,54.304778,-110.741233
CAN,CWXL,WXL,49.73,-111.45
CAN,,PXL,49.87,-111.38
CAN,CWXA,WXA,51.08,-115.07
CAN,CWOV,WOV,53.09,-114.44
CAN,CXBR,XBR,49.62,-113.82
CAN,CWBO,WBO,50.56,-111.85
CAN,CYBP,YBP,50.63405,-111.926308
CAN,,PBN,56.12,-117.89
CAN,,PBR,49.3,-113.36
CAN,,PBH,49.15,-113.55
CAN,,PBB,53.93,-113.92
CAN,,PCA,52.33,-110.51
CAN,CYYC,YYC,51.11388889,-114.0202778
CAN,,PCI,51.11,-114.0
CAN,CYBW,YBW,51.10305556,-114.3744444
CAN,CWRV,WRV,53.05,-112.82
CAN,CWFJ,WFJ,49.2,-113.29
CAN,CWHK,WHK,53.5667,-114.15
CAN,CXCP,XCP,50.28,-113.35
CAN,CWDK,WDK,50.0,-113.64
CAN,CXCD,XCD,56.31,-119.75
CAN,CZDY,ZDY,53.083,-116.8
CAN,CYOD,YOD,54.41666667,-110.2833333
CAN,CXCS,XCS,51.94,-110.71
CAN,CWAL,WAL,53.4273,-113.115
CAN,CWDU,WDU,51.08,-114.22
CAN,CWCT,WCT,52.0833,-111.45
CAN,CYCT,YCT,52.075,-111.445278
CAN,CYYM,YYM,49.636389,-114.094444
CAN,,PCM,51.78,-112.25
CAN,,PCC,52.73,-113.9
CAN,CWRT,WRT,49.63,-114.48
CAN,CXDP,XDP,54.32,-113.95
CAN,CXDB,XDB,49.05,-112.82
CAN,,PDA,52.18,-113.18
CAN,,PDB,53.66,-110.59
CAN,CWDZ,WDZ,51.45,-112.68
CAN,,PDU,54.37,-110.87
CAN,,PEL,55.81,-117.89
CAN,,PEA,52.78,-110.43
CAN,CWEG,WEG,53.5369,-113.4165
CAN,CWYC,WYC,53.5369,-113.4165
CAN,CWNT,WNT,53.5369,-113.4165
CAN,CYED,YED,53.66666667,-113.4666667
CAN,CZEG,,53.3115,-113.5784
CAN,CYEG,YEG,53.31666667,-113.5833333
CAN,CXEG,XEG,53.3067,-113.6058
CAN,CYXD,YXD,53.57194444,-113.5194444
CAN,CWSE,WSE,53.55,-114.11
CAN,CXPS,XPS,53.5475,-114.1083
CAN,CZED,ZED,53.5481,-114.1075
CAN,CZVL,ZVL,53.668242,-113.852267
CAN,CZET,ZET,53.5833,-116.4667
CAN,CYET,YET,53.57888889,-116.465
CAN,CZZJ,ZZJ,53.5803,-116.4533
CAN,CXEL,XEL,58.98,-110.44
CAN,CWFE,WFE,53.68,-112.87
CAN,CWHE,WHE,53.4167,-113.55
CAN,CYEA,,50.933517,-110.013503
CAN,,PEH,50.18,-112.43
CAN,CWGY,WGY,51.67,-110.21
CAN,,PET,49.55,-111.05
CAN,,PEB,53.61,-115.06
CAN,CXFR,XFR,56.08,-118.44
CAN,,PFA,52.74,-112.86
CAN,,PFI,49.8,-112.03
CAN,CYFI,,57.275722,-110.976675
CAN,CXFM,XFM,49.48,-111.49
CAN,,PFO,52.55,-112.12
CAN,,PFB,54.41,-114.77
CAN,CWPY,WPY,58.7667,-111.1167
CAN,CYPY,YPY,58.767436,-111.117558
CAN,CYNR,,57.381553,-111.701117
CAN,CYMM,YMM,56.6532,-111.223331
CAN,CXMM,XMM,56.6511,-111.2133
CAN,CXFV,XFV,58.38,-116.04
CAN,,PFM,49.79,-113.38
CAN,CWGF,WGF,58.71,-113.87
CAN,,PGE,53.07,-110.62
CAN,,PGI,50.93,-112.94
CAN,,PGC,53.83,-114.54
CAN,,PCR,49.33,-113.52
CAN,CWAM,WAM,53.9167,-118.8667
CAN,CYQU,YQU,55.17972222,-118.885
CAN,,PGL,49.87,-111.73
CAN,CYPE,,56.227292,-117.448419
CAN,,PHA,52.12,-112.16
CAN,,PHW,57.26,-117.3
CAN,,PHE,51.78,-111.21
CAN,CWPA,WPA,53.8,-118.45
CAN,,PHR,52.31,-114.49
CAN,CYOJ,YOJ,58.62166667,-117.1647222
CAN,CXHP,XHP,55.4,-116.48
CAN,CZHP,ZHP,55.393556,-116.474864
CAN,CWHA,WHA,53.45,-114.47
CAN,CWAP,WAP,53.3167,-117.75
CAN,CXHD,XHD,53.19,-112.25
CAN,,PHU,52.58,-110.78
CAN,CXHR,XHR,51.18,-112.5
CAN,,PIR,49.9,-112.73
CAN,,PIA,49.99,-110.26
CAN,CWJA,WJA,52.8833,-118.0667
CAN,CWJW,WJW,52.93,-118.03
CAN,CYJA,YJA,52.996667,-118.059444
CAN,,PJT,55.91,-117.12
CAN,,PKA,52.29,-111.11
CAN,CXKM,XKM,52.85,-111.87
CAN,,PKI,53.35,-110.42
CAN,,PLC,58.17,-116.34
CAN,,PLG,55.42,-119.25
CAN,CYLB,YLB,54.76888889,-112.0236111
CAN,CWLB,WLB,54.76888889,-112.0236111
CAN,CWQQ,WQQ,52.45,-113.76
CAN,,NLD,52.55,-114.47
CAN,,PLF,54.0,-113.47
CAN,CWQL,WQL,49.7,-112.77
CAN,,NLB,53.94,-110.58
CAN,,PLA,51.62,-113.66
CAN,CYLL,YLL,53.30916667,-110.0725
CAN,CXMG,XMG,56.97,-117.45
CAN,CWAI,WAI,56.9508,-117.6442
CAN,,PMA,53.46,-111.26
CAN,CXMN,XMN,49.14,-111.65
CAN,,PMB,49.3639,-110.6781
CAN,CXMW,XMW,50.0251,-110.7173
CAN,CYXH,YXH,50.018894,-110.720628
CAN,CYOD,,54.405278,-110.282222
CAN,CWMX,WMX,57.04,-111.56
CAN,CWRY,WRY,49.13,-112.05
CAN,,PRR,49.28,-112.54
CAN,CXMO,XMO,51.66,-112.68
CAN,,PML,50.67,-113.35
CAN,CZMU,ZMU,53.57,-112.3
CAN,,PMN,53.72,-111.11
CAN,CWNR,WNR,50.94,-115.19
CAN,,NNR,51.37,-114.1
CAN,,PNS,53.26,-113.17
CAN,CXND,XND,52.49,-116.04
CAN,CXOL,XOL,51.76,-114.08
CAN,CZOL,ZOL,53.65,-113.35
CAN,CWOE,WOE,49.12,-110.47
CAN,CXOY,XOY,51.38,-110.35
CAN,,PPL,49.22,-111.13
CAN,CYPE,YPE,56.22694444,-117.4472222
CAN,,NPK,50.37,-114.42
CAN,CXPA,XPA,55.62,-118.29
CAN,CZPC,ZPC,49.520431,-113.996156
CAN,CXPL,XPL,51.13,-111.71
CAN,CXPV,XPV,58.63,-111.68
CAN,CZPS,ZPS,52.43,-113.6
CAN,,PRD,50.8692,-114.2917
CAN,CWOU,WOU,54.7889,-110.0597
CAN,CWIQ,WIQ,54.75,-110.05
CAN,,PQU,50.5978,-112.8033
CAN,,PRW,54.0,-112.88
CAN,CYOP,,58.491094,-119.406642
CAN,,PRY,49.48,-112.68
CAN,CYQF,YQF,52.17861111,-113.8930556
CAN,CWRD,WRD,56.55,-115.28
CAN,,PRS,52.5869,-110.3428
CAN,CXRL,XRL,54.5,-111.7
CAN,,PRA,53.01888889,-110.1019444
CAN,CWRM,WRM,52.42,-114.91
CAN,CYRM,YRM,52.429683,-114.904236
CAN,,PRH,50.27,-111.7
